0.000000	0.000000
0.040238	0.000121
0.080476	0.000363
0.120714	0.000725
0.160952	0.001209
0.201191	0.001812
0.241429	0.002536
0.281667	0.003379
0.321905	0.004341
0.362143	0.005422
0.402381	0.006622
0.442619	0.007939
0.482857	0.009372
0.523095	0.010922
0.563333	0.012588
0.603572	0.014367
0.643810	0.016261
0.684048	0.018267
0.724286	0.020384
0.764524	0.022611
0.804762	0.024948
0.845000	0.027392
0.885238	0.029942
0.925476	0.032598
0.965715	0.035357
1.005953	0.038217
1.046191	0.041178
1.086429	0.044237
1.126667	0.047393
1.166905	0.050642
1.207143	0.053985
1.247381	0.057417
1.287619	0.060938
1.327857	0.064544
1.368096	0.068234
1.408334	0.072004
1.448572	0.075852
1.488810	0.079776
1.529048	0.083771
1.569286	0.087836
1.609524	0.091967
1.649762	0.096161
1.690000	0.100414
1.730239	0.104722
1.770477	0.109082
1.810715	0.113490
1.850953	0.117941
1.891191	0.122431
1.931429	0.126956
1.971667	0.131511
2.011905	0.136090
2.052143	0.140688
2.092381	0.145299
2.132620	0.149918
2.172858	0.154538
2.213096	0.159153
2.253334	0.163754
2.293572	0.168335
2.333810	0.172887
2.374048	0.177402
2.414286	0.181870
2.454524	0.186280
2.494763	0.190622
2.535001	0.194883
2.575239	0.199049
2.615477	0.203106
2.655715	0.207036
2.695953	0.210820
2.736191	0.214435
2.776429	0.217855
2.816667	0.221046
2.856905	0.223968
2.897144	0.226564
2.937382	0.228751
2.977620	0.230384
3.017858	0.230983
3.058096	0.240175
3.098334	0.249486
3.138572	0.258914
3.178810	0.268457
3.219048	0.278114
3.259287	0.287883
3.299525	0.297762
3.339763	0.307749
3.380001	0.317843
3.420239	0.328040
3.460477	0.338338
3.500715	0.348737
3.540953	0.359232
3.581191	0.369823
3.621429	0.380506
3.661668	0.391278
3.701906	0.402138
3.742144	0.413082
3.782382	0.424107
3.822620	0.435211
3.862858	0.446391
3.903096	0.457644
3.943334	0.468965
3.983572	0.480353
4.023811	0.491804
4.064049	0.503313
4.104287	0.514878
4.144525	0.526495
4.184763	0.538160
4.225001	0.549868
4.265239	0.561616
4.305477	0.573400
4.345715	0.585214
4.385953	0.597055
4.426192	0.608918
4.466430	0.620797
4.506668	0.632688
4.546906	0.644585
4.587144	0.656482
4.627382	0.668375
4.667620	0.680257
4.707858	0.692122
4.748096	0.703964
4.788335	0.715776
4.828573	0.727550
4.868811	0.739281
4.909049	0.750959
4.949287	0.762577
4.989525	0.774127
5.029763	0.785601
5.070001	0.796987
5.110239	0.808278
5.150477	0.819463
5.190716	0.830531
5.230954	0.841470
5.271192	0.852268
5.311430	0.862913
5.351668	0.873389
5.391906	0.883683
5.432144	0.893777
5.472382	0.903654
5.512620	0.913295
5.552859	0.922678
5.593097	0.931781
5.633335	0.940576
5.673573	0.949033
5.713811	0.957120
5.754049	0.964795
5.794287	0.972012
5.834525	0.978711
5.874763	0.984820
5.915001	0.990238
5.955240	0.994819
5.995478	0.998307
6.035716	1.000000
6.075954	1.000000
6.116192	1.000000
6.156430	1.000000
6.196668	1.000000
6.236906	1.000000
6.277144	1.000000
6.317383	1.000000
6.357621	1.000000
6.397859	1.000000
6.438097	1.000000
6.478335	1.000000
6.518573	1.000000
6.558811	1.000000
6.599049	1.000000
6.639287	1.000000
6.679525	1.000000
6.719764	1.000000
6.760002	1.000000
6.800240	1.000000
6.840478	1.000000
6.880716	1.000000
6.920954	1.000000
6.961192	1.000000
7.001430	1.000000
7.041668	1.000000
7.081907	1.000000
7.122145	1.000000
7.162383	1.000000
7.202621	1.000000
7.242859	1.000000
7.283097	1.000000
7.323335	1.000000
7.363573	1.000000
7.403811	1.000000
7.444049	1.000000
7.484288	1.000000
7.524526	1.000000
7.564764	1.000000
7.605002	1.000000
7.645240	1.000000
7.685478	1.000000
7.725716	1.000000
7.765954	1.000000
7.806192	1.000000
7.846431	1.000000
7.886669	1.000000
7.926907	1.000000
7.967145	1.000000
8.007383	1.000000
8.047621	1.000000
