pT,RAA_1S,RAA_2S,RAA_chi_b0(1P),RAA_chi_b1(1P),RAA_chi_b2(1P),RAA_3S,RAA_chi_b0(2P),RAA_chi_b1(2P),RAA_chi_b2(2P)
1.000000000000000000e+00,7.639909807498581618e-01,5.475828771822143226e-01,8.964952747494292495e-01,8.961556404041847168e-01,8.963049302262701135e-01,4.290597993669780230e-01,5.232707195357847452e-01,5.232707195357847452e-01,5.232707195357847452e-01
3.500000000000000000e+00,7.690958729370963587e-01,5.556647850288302104e-01,9.067426648110769039e-01,9.064072654496395653e-01,9.065546937403813343e-01,4.400870488882009934e-01,5.381719379567698747e-01,5.381719379567699857e-01,5.381719379567698747e-01
7.500000000000000000e+00,7.780117767172960441e-01,5.693727094844998060e-01,9.275800310652712044e-01,9.272502921697162170e-01,9.273952323435866729e-01,4.585391928982328613e-01,5.652295963896079023e-01,5.652295963896079023e-01,5.652295963896079023e-01
1.250000000000000000e+01,7.896759479927184522e-01,5.875430223192119605e-01,9.512729052442394639e-01,9.509540048573221771e-01,9.510941808515716023e-01,4.838211596144397775e-01,6.008329196209774015e-01,6.008329196209774015e-01,6.008329196209774015e-01
1.750000000000000000e+01,7.951567125696747951e-01,5.951620981773780850e-01,9.574339221628036523e-01,9.571215838176816426e-01,9.572588753979551779e-01,4.953070814022580426e-01,6.142049714795008164e-01,6.142049714795008164e-01,6.142049714795008164e-01
2.500000000000000000e+01,8.012335295310716310e-01,6.081923123493306882e-01,9.774962733050842623e-01,9.771856678818743314e-01,9.773221977382304804e-01,5.094238538135589245e-01,6.361716324152536517e-01,6.361716324152536517e-01,6.361716324152536517e-01
