y,RAA_1S,RAA_2S,RAA_chi_b0(1P),RAA_chi_b1(1P),RAA_chi_b2(1P),RAA_3S,RAA_chi_b0(2P),RAA_chi_b1(2P),RAA_chi_b2(2P)
-5.000000000000000000e+00,8.757155254992675664e-01,8.007589498941821704e-01,1.134752428571428107e+00,1.134493273837337224e+00,1.134607188006168554e+00,7.101085584415587348e-01,8.499670064935069824e-01,8.499670064935069824e-01,8.499670064935069824e-01
-3.000000000000000000e+00,7.845656978294657247e-01,5.877934515848468600e-01,9.501611507191966011e-01,9.498248670184921139e-01,9.499726840297908481e-01,4.727737977902845556e-01,5.806186224723778322e-01,5.806186224723778322e-01,5.806186224723778322e-01
-1.000000000000000000e+00,7.570400180115803845e-01,5.252290015491244413e-01,8.790221229486527843e-01,8.786831183638975640e-01,8.788321313681857205e-01,4.100837338097756968e-01,5.064896122286912661e-01,5.064896122286912661e-01,5.064896122286912661e-01
1.000000000000000000e+00,7.570312935106654484e-01,5.244442927282855216e-01,8.786125762711902709e-01,8.782737227857644324e-01,8.784226693727649193e-01,4.096537650703556133e-01,5.062461087703892249e-01,5.062461087703892249e-01,5.062461087703892249e-01
3.000000000000000000e+00,7.938794259738892745e-01,6.085601954201349528e-01,9.688127976914809869e-01,9.684827058347605933e-01,9.686278011563960177e-01,4.954780814806412081e-01,6.060744936032326224e-01,6.060744936032326224e-01,6.060744936032326224e-01
5.000000000000000000e+00,9.010163106798192434e-01,8.475104872196239647e-01,1.147248813655223465e+00,1.147040892811541868e+00,1.147132286588984362e+00,7.784975224443608788e-01,9.187643700490388809e-01,9.187643700490389920e-01,9.187643700490388809e-01
