y,RAA_1S,RAA_2S,RAA_chi_b0(1P),RAA_chi_b1(1P),RAA_chi_b2(1P),RAA_3S,RAA_chi_b0(2P),RAA_chi_b1(2P),RAA_chi_b2(2P)
-5.000000000000000000e+00,7.621056074771126454e-01,6.560765403675705709e-01,6.952888308876845613e-01,6.946608858932172836e-01,6.949369056710050785e-01,6.006877765033884486e-01,5.239386418093164646e-03,5.239386418093164646e-03,5.239386418093164646e-03
-3.000000000000000000e+00,6.675562190738034696e-01,6.064315156545629915e-01,4.150862911536102318e-01,4.155337368839256418e-01,4.153370574420287564e-01,3.632382809750053232e-01,9.067848958958890648e-01,9.067848958958891759e-01,9.067848958958890648e-01
-1.000000000000000000e+00,6.471188364513816849e-01,5.923596853358893410e-01,3.507307167668187731e-01,3.512453377006812261e-01,3.510191306967856972e-01,3.079040382991157232e-01,9.162482265057936281e-01,9.162482265057936281e-01,9.162482265057936281e-01
1.000000000000000000e+00,6.485676698993787515e-01,5.906045091053576668e-01,3.511294546811877249e-01,3.515543608453516322e-01,3.513675889050599244e-01,3.070985161267444918e-01,8.180593054108394879e-01,8.180593054108393769e-01,8.180593054108394879e-01
3.000000000000000000e+00,6.861695062858035321e-01,6.174743153311136323e-01,4.538416490177699103e-01,4.542844800823904183e-01,4.540898290649748037e-01,3.950314928400651127e-01,9.404691925568386957e-01,9.404691925568386957e-01,9.404691925568386957e-01
5.000000000000000000e+00,8.023296492136939850e-01,6.784415966561219147e-01,7.626331830493956465e-01,7.628464902869410702e-01,7.627527288638442649e-01,6.430458410761891175e-01,9.970367407916504998e-01,9.970367407916504998e-01,9.970367407916504998e-01
