pT,RAA_1S,RAA_2S,RAA_chi_b0(1P),RAA_chi_b1(1P),RAA_chi_b2(1P),RAA_3S,RAA_chi_b0(2P),RAA_chi_b1(2P),RAA_chi_b2(2P)
1.000000000000000000e+00,8.289198198290228525e-01,7.482747984278107500e-01,3.576205063275401663e-01,3.572952999332492663e-01,3.574382477988716778e-01,3.118603307417169845e-01,2.508422716106312655e-04,2.508422716106312655e-04,2.508422716106312655e-04
3.500000000000000000e+00,8.586500951838095252e-01,7.726753781952906408e-01,3.799941324404819132e-01,3.796485365545915758e-01,3.798004468341038553e-01,3.301781412088435341e-01,2.184336599565769638e-04,2.184336599565769638e-04,2.184336599565769638e-04
7.500000000000000000e+00,9.074840606333178794e-01,8.109847719724483373e-01,4.182755234418938928e-01,4.178950801016054206e-01,4.180623079434904743e-01,3.607192686544604121e-01,2.059187293241578184e-04,2.059187293241578184e-04,2.059187293241578184e-04
1.250000000000000000e+01,9.520380767743179540e-01,8.445172627449503144e-01,4.560107470118766049e-01,4.555959628330446542e-01,4.557782855490147833e-01,3.902108205795137841e-01,2.039570866514074025e-04,2.039570866514074025e-04,2.039570866514074025e-04
1.750000000000000000e+01,9.787780086095470011e-01,8.677931030095887843e-01,4.724293998976218378e-01,4.719996712478415901e-01,4.721885629620307112e-01,4.034609924753931320e-01,2.001144247882668604e-04,2.001144247882668875e-04,2.001144247882668604e-04
2.500000000000000000e+01,1.011967845830808788e+00,8.813313557414559352e-01,5.016293915683025517e-01,5.011730788505398548e-01,5.013736558693366874e-01,4.209996278917571555e-01,1.868445763150650900e-04,1.868445763150650900e-04,1.868445763150650900e-04
